Gene ID,Gene Type,Chrom,Gene Size
ENSG00000071564,Oncogene,AUTO,43315
ENSG00000139083,Oncogene,AUTO,245548
ENSG00000140464,Oncogene,AUTO,53139
ENSG00000119772,Oncogene,AUTO,114735
ENSG00000111276,Oncogene,AUTO,7313
ENSG00000138413,Oncogene,AUTO,29847
ENSG00000167085,Oncogene,AUTO,10856
ENSG00000266412,Oncogene,AUTO,25626
ENSG00000121454,Oncogene,AUTO,48696
ENSG00000159216,Oncogene,AUTO,1216866
ENSG00000119508,Oncogene,AUTO,45036
ENSG00000178691,Oncogene,AUTO,64027
ENSG00000196914,Oncogene,AUTO,153022
ENSG00000111087,Oncogene,AUTO,12127
ENSG00000109906,Oncogene,AUTO,191083
ENSG00000121067,Oncogene,AUTO,79350
ENSG00000137693,Oncogene,AUTO,122962
ENSG00000119950,Oncogene,AUTO,79760
ENSG00000116478,Oncogene,AUTO,41549
ENSG00000196092,Oncogene,AUTO,200910
ENSG00000161547,Oncogene,AUTO,3259
ENSG00000118689,Oncogene,AUTO,124939
ENSG00000122025,Oncogene,AUTO,97318
ENSG00000136603,Oncogene,AUTO,39157
ENSG00000171476,Oncogene,AUTO,33911
ENSG00000184937,Oncogene,AUTO,47855
ENSG00000179295,Oncogene,AUTO,91562
ENSG00000114346,Oncogene,AUTO,70792
ENSG00000183770,Oncogene,AUTO,2916
ENSG00000116990,Oncogene,AUTO,6830
ENSG00000134250,Oncogene,AUTO,158073
ENSG00000130816,Oncogene,AUTO,97941
ENSG00000168229,TSG,AUTO,9011
ENSG00000170367,TSG,AUTO,3815
ENSG00000152936,TSG,AUTO,239272
ENSG00000112715,TSG,AUTO,16303
ENSG00000233608,TSG,AUTO,62511
ENSG00000175354,TSG,AUTO,144165
ENSG00000108001,TSG,AUTO,128558
ENSG00000085224,TSG,X,281391
ENSG00000145777,TSG,AUTO,7962
ENSG00000105810,TSG,AUTO,231673
ENSG00000184281,TSG,AUTO,3390
ENSG00000095002,TSG,AUTO,260177
ENSG00000010610,TSG,AUTO,33950
ENSG00000148737,TSG,AUTO,217428
ENSG00000120057,TSG,AUTO,5201
ENSG00000166501,TSG,AUTO,384665
ENSG00000168646,TSG,AUTO,33084
ENSG00000137203,TSG,AUTO,26473
ENSG00000128016,TSG,AUTO,2599
ENSG00000121691,TSG,AUTO,33137
ENSG00000115310,TSG,AUTO,140434
ENSG00000221869,TSG,AUTO,2177
ENSG00000122877,TSG,AUTO,107904
ENSG00000073614,TSG,AUTO,109325
ENSG00000073578,TSG,AUTO,38459
ENSG00000078399,TSG,AUTO,12745
ENSG00000181555,TSG,AUTO,147538
ENSG00000171345,TSG,AUTO,4691
ENSG00000130707,TSG,AUTO,56345
ENSG00000188215,TSG,AUTO,45459
ENSG00000023287,TSG,AUTO,123387
ENSG00000177409,TSG,AUTO,18314
ENSG00000112679,TSG,AUTO,59725
ENSG00000123094,TSG,AUTO,120863
ENSG00000172732,TSG,AUTO,10527
ENSG00000197635,TSG,AUTO,82301
ENSG00000090238,TSG,AUTO,4601
ENSG00000182985,TSG,AUTO,335739
ENSG00000116254,TSG,AUTO,78330
ENSG00000087088,TSG,AUTO,6983
ENSG00000166454,TSG,AUTO,11511
ENSG00000015171,TSG,AUTO,120172
ENSG00000140945,TSG,AUTO,1173837
ENSG00000215218,TSG,AUTO,46286
ENSG00000173432,TSG,AUTO,3803
ENSG00000112096,TSG,AUTO,76129
ENSG00000023191,TSG,AUTO,12788
ENSG00000140937,TSG,AUTO,182359
ENSG00000125347,TSG,AUTO,9189
ENSG00000137218,TSG,AUTO,16366
ENSG00000144597,TSG,AUTO,23280
ENSG00000124713,TSG,AUTO,3122
ENSG00000151692,TSG,AUTO,150894
ENSG00000187091,TSG,AUTO,22266
ENSG00000147364,TSG,AUTO,71539
ENSG00000110514,TSG,AUTO,60870
ENSG00000153707,TSG,AUTO,2298477
ENSG00000241697,TSG,AUTO,104523
ENSG00000135249,TSG,AUTO,35592
ENSG00000116062,TSG,AUTO,114571
ENSG00000113575,TSG,AUTO,31808
ENSG00000178568,TSG,AUTO,1163124
ENSG00000137713,TSG,AUTO,39519
ENSG00000103490,TSG,AUTO,1965
ENSG00000102974,TSG,AUTO,76778
ENSG00000206075,TSG,AUTO,28324
ENSG00000172530,TSG,AUTO,128074
ENSG00000135373,TSG,AUTO,39964
ENSG00000123095,TSG,AUTO,5101
ENSG00000136160,TSG,AUTO,80048
ENSG00000178773,TSG,AUTO,21478
ENSG00000135956,TSG,AUTO,17478
ENSG00000082397,TSG,AUTO,238319
ENSG00000153922,TSG,AUTO,74972
ENSG00000196396,TSG,AUTO,74920
ENSG00000101955,TSG,X,71588
ENSG00000138279,TSG,AUTO,38975
ENSG00000196220,TSG,AUTO,382462
ENSG00000179776,TSG,AUTO,38164
ENSG00000175315,TSG,AUTO,1664
ENSG00000167034,TSG,AUTO,4234
ENSG00000137757,TSG,AUTO,28933
ENSG00000110713,TSG,AUTO,126709
ENSG00000070444,TSG,AUTO,17058
ENSG00000104228,TSG,AUTO,26432
ENSG00000115415,TSG,AUTO,56602
ENSG00000030419,TSG,AUTO,152736
ENSG00000266173,TSG,AUTO,59650
ENSG00000118046,TSG,AUTO,50877
ENSG00000126456,TSG,AUTO,6306
ENSG00000178175,TSG,AUTO,65075
ENSG00000060339,TSG,AUTO,71365
ENSG00000186891,TSG,AUTO,3183
ENSG00000142082,TSG,AUTO,21473
ENSG00000134762,TSG,AUTO,52807
ENSG00000143878,TSG,AUTO,2371
ENSG00000063438,TSG,AUTO,134115
ENSG00000132958,TSG,AUTO,113885
ENSG00000096696,TSG,AUTO,45142
ENSG00000167657,TSG,AUTO,12670
ENSG00000106305,TSG,AUTO,14589
ENSG00000131899,TSG,AUTO,19288
ENSG00000167548,TSG,AUTO,40799
ENSG00000140961,TSG,AUTO,18050
ENSG00000154277,TSG,AUTO,12042
ENSG00000127616,TSG,AUTO,118601
ENSG00000120733,TSG,AUTO,84432
ENSG00000129757,TSG,AUTO,2560
ENSG00000173801,TSG,AUTO,32327
ENSG00000007168,TSG,AUTO,92405
ENSG00000166923,TSG,AUTO,27133
ENSG00000113594,TSG,AUTO,133391
ENSG00000100084,TSG,AUTO,116752
ENSG00000107485,TSG,AUTO,29825
ENSG00000008226,TSG,AUTO,84820
ENSG00000137265,TSG,AUTO,19708
ENSG00000153107,TSG,AUTO,273051
ENSG00000107201,TSG,AUTO,70619
ENSG00000140691,TSG,AUTO,9086
ENSG00000111653,TSG,AUTO,12868
ENSG00000137801,TSG,AUTO,18387
ENSG00000153094,TSG,AUTO,49069
ENSG00000130829,TSG,X,8834
ENSG00000154655,TSG,AUTO,460531
ENSG00000168702,TSG,AUTO,1900278
ENSG00000124942,TSG,AUTO,122693
ENSG00000120738,TSG,AUTO,3825
ENSG00000085382,TSG,AUTO,131826
ENSG00000183765,TSG,AUTO,54679
ENSG00000197579,TSG,AUTO,12009
ENSG00000152213,TSG,AUTO,5573
ENSG00000274897,TSG,AUTO,1679
ENSG00000026508,TSG,AUTO,93532
ENSG00000124802,TSG,AUTO,29218
ENSG00000105185,TSG,AUTO,6384
ENSG00000105325,TSG,AUTO,32057
ENSG00000145879,TSG,AUTO,3503
ENSG00000105825,TSG,AUTO,5594
ENSG00000136158,TSG,AUTO,4975
ENSG00000157613,TSG,AUTO,43761
ENSG00000183230,TSG,AUTO,1783651
ENSG00000117118,TSG,AUTO,35448
ENSG00000166200,TSG,AUTO,49593
ENSG00000104320,TSG,AUTO,69892
ENSG00000147854,TSG,AUTO,93903
ENSG00000181649,TSG,AUTO,1182
ENSG00000076201,TSG,AUTO,32430
ENSG00000145703,TSG,AUTO,304883
ENSG00000134574,TSG,AUTO,24775
ENSG00000100644,TSG,AUTO,52746
ENSG00000101412,TSG,AUTO,10721
ENSG00000107104,TSG,AUTO,275815
ENSG00000198924,TSG,AUTO,19658
ENSG00000131080,TSG,X,43661
ENSG00000105856,TSG,AUTO,33568
ENSG00000125378,TSG,AUTO,9025
ENSG00000160469,TSG,AUTO,30461
ENSG00000185338,TSG,AUTO,1795
ENSG00000128918,TSG,AUTO,544442
ENSG00000101096,TSG,AUTO,175874
ENSG00000112237,TSG,AUTO,26593
ENSG00000278311,TSG,AUTO,44960
ENSG00000132819,TSG,AUTO,17926
ENSG00000107937,TSG,AUTO,31917
ENSG00000132002,TSG,AUTO,15000
ENSG00000141027,TSG,AUTO,189028
ENSG00000198553,TSG,AUTO,5668
ENSG00000115548,TSG,AUTO,52069
ENSG00000108375,TSG,AUTO,65095
ENSG00000113763,TSG,AUTO,70421
ENSG00000138376,TSG,AUTO,84065
ENSG00000204977,TSG,AUTO,24593
ENSG00000035664,TSG,AUTO,164997
ENSG00000125148,TSG,AUTO,1298
ENSG00000129521,TSG,AUTO,538543
ENSG00000054598,TSG,AUTO,3925
ENSG00000130700,TSG,AUTO,12473
ENSG00000078900,TSG,AUTO,83681
ENSG00000205364,TSG,AUTO,1753
ENSG00000022267,TSG,X,64657
ENSG00000077463,TSG,AUTO,8495
ENSG00000125482,TSG,AUTO,31303
ENSG00000080839,TSG,AUTO,99646
ENSG00000140931,TSG,AUTO,10018
ENSG00000198417,TSG,AUTO,3004
ENSG00000156508,TSG,AUTO,8047
ENSG00000103126,TSG,AUTO,65233
ENSG00000100003,TSG,AUTO,28460
ENSG00000197081,TSG,AUTO,144408
ENSG00000104081,TSG,AUTO,21002
ENSG00000147394,TSG,X,59038
ENSG00000125144,TSG,AUTO,1334
ENSG00000099769,TSG,AUTO,4558
ENSG00000087206,TSG,AUTO,117628
ENSG00000131669,TSG,AUTO,12799
ENSG00000173542,TSG,AUTO,120123
ENSG00000215301,TSG,X,31188
ENSG00000026297,TSG,AUTO,27687
ENSG00000148337,TSG,AUTO,38319
ENSG00000245848,TSG,AUTO,2630
ENSG00000039068,TSG,AUTO,98323
ENSG00000071242,TSG,AUTO,497087
ENSG00000057657,TSG,AUTO,23619
ENSG00000155090,TSG,AUTO,7123
ENSG00000133454,TSG,AUTO,288897
ENSG00000179399,TSG,AUTO,1475075
ENSG00000133321,TSG,AUTO,9653
ENSG00000165238,TSG,AUTO,135656
ENSG00000163930,TSG,AUTO,9337
ENSG00000133328,TSG,AUTO,10613
ENSG00000176485,TSG,AUTO,43688
ENSG00000120727,TSG,AUTO,28133
ENSG00000187678,TSG,AUTO,16028
ENSG00000154096,TSG,AUTO,7607
ENSG00000141753,TSG,AUTO,14270
ENSG00000261857,TSG,AUTO,5842
ENSG00000179271,TSG,AUTO,4117
ENSG00000109854,TSG,AUTO,20098
ENSG00000108387,TSG,AUTO,20568
ENSG00000165119,TSG,AUTO,12533
ENSG00000074319,TSG,AUTO,58896
ENSG00000074211,TSG,AUTO,243022
ENSG00000134982,TSG,AUTO,138741
ENSG00000079112,TSG,AUTO,90132
ENSG00000106852,TSG,AUTO,27049
ENSG00000165474,TSG,AUTO,5547
ENSG00000103175,TSG,AUTO,35205
ENSG00000183337,TSG,X,127514
ENSG00000111877,TSG,AUTO,121720
ENSG00000105767,TSG,AUTO,17471
ENSG00000160199,TSG,AUTO,59421
ENSG00000149177,TSG,AUTO,190283
ENSG00000183479,TSG,X,25867
ENSG00000118495,TSG,AUTO,124299
ENSG00000127831,TSG,AUTO,34203
ENSG00000169129,TSG,AUTO,109932
ENSG00000181007,TSG,AUTO,35536
ENSG00000124092,TSG,AUTO,29686
ENSG00000172977,TSG,AUTO,7608
ENSG00000124571,TSG,AUTO,53745
ENSG00000137337,TSG,AUTO,18082
ENSG00000183117,TSG,AUTO,2059619
ENSG00000154640,TSG,AUTO,19294
ENSG00000165478,TSG,AUTO,17219
ENSG00000183454,TSG,AUTO,429350
ENSG00000174744,TSG,AUTO,7792
ENSG00000102054,TSG,X,31131
ENSG00000102786,TSG,AUTO,100187
ENSG00000196712,TSG,AUTO,287189
ENSG00000130347,TSG,AUTO,57516
ENSG00000161298,TSG,AUTO,29296
ENSG00000170476,TSG,AUTO,2601
ENSG00000115306,TSG,AUTO,215160
ENSG00000168040,TSG,AUTO,4227
ENSG00000163814,TSG,AUTO,64144
ENSG00000152894,TSG,AUTO,551895
ENSG00000157450,TSG,AUTO,232244
ENSG00000114742,TSG,AUTO,44673
ENSG00000095951,TSG,AUTO,156237
ENSG00000184349,TSG,AUTO,294006
ENSG00000008710,TSG,AUTO,47188
ENSG00000188921,TSG,AUTO,32121
ENSG00000107779,TSG,AUTO,176237
ENSG00000259207,TSG,AUTO,57970
ENSG00000104899,TSG,AUTO,2764
ENSG00000166033,TSG,AUTO,53383
ENSG00000174282,TSG,AUTO,24897
ENSG00000127947,TSG,AUTO,102796
ENSG00000132530,TSG,AUTO,20200
ENSG00000105722,TSG,AUTO,7585
ENSG00000103197,TSG,AUTO,42022
ENSG00000095585,TSG,AUTO,79885
ENSG00000032742,TSG,AUTO,124368
ENSG00000125398,TSG,AUTO,5400
ENSG00000119318,TSG,AUTO,49057
ENSG00000172201,TSG,AUTO,3298
ENSG00000108946,TSG,AUTO,39539
ENSG00000120885,TSG,AUTO,18114
ENSG00000125780,TSG,AUTO,45077
ENSG00000099860,TSG,AUTO,2137
ENSG00000146038,TSG,AUTO,186296
ENSG00000176788,TSG,AUTO,211245
ENSG00000204370,TSG,AUTO,33240
ENSG00000165699,TSG,AUTO,55526
ENSG00000204859,TSG,AUTO,9279
ENSG00000213853,TSG,AUTO,52276
ENSG00000149782,TSG,AUTO,17627
ENSG00000136099,TSG,AUTO,5752
ENSG00000115461,TSG,AUTO,23420
ENSG00000164741,TSG,AUTO,521249
ENSG00000166347,TSG,AUTO,41169
ENSG00000069869,TSG,AUTO,166824
ENSG00000165462,TSG,AUTO,6587
ENSG00000196470,TSG,AUTO,92038
ENSG00000185988,TSG,AUTO,11972
ENSG00000102837,TSG,AUTO,23298
ENSG00000080503,TSG,AUTO,213334
ENSG00000053438,TSG,AUTO,2478
ENSG00000166619,TSG,AUTO,35459
ENSG00000239697,TSG,AUTO,8999
ENSG00000166866,TSG,AUTO,22681
ENSG00000166266,TSG,AUTO,99043
ENSG00000114383,TSG,AUTO,8224
ENSG00000198561,TSG,AUTO,66303
ENSG00000137331,TSG,AUTO,1355
ENSG00000166394,TSG,AUTO,12122
ENSG00000107562,TSG,AUTO,16328
ENSG00000083093,TSG,AUTO,38150
ENSG00000153487,TSG,AUTO,10603
ENSG00000013016,TSG,AUTO,35110
ENSG00000118520,TSG,AUTO,11188
ENSG00000112242,TSG,AUTO,91809
ENSG00000170485,TSG,AUTO,176677
ENSG00000014123,TSG,AUTO,33681
ENSG00000107551,TSG,AUTO,36484
ENSG00000111679,TSG,AUTO,14848
ENSG00000079432,TSG,AUTO,27260
ENSG00000149591,TSG,AUTO,5461
ENSG00000173473,TSG,AUTO,196834
ENSG00000104765,TSG,AUTO,122738
ENSG00000133313,TSG,AUTO,27638
ENSG00000100276,TSG,AUTO,6746
ENSG00000050748,TSG,AUTO,58956
ENSG00000196090,TSG,AUTO,1117218
ENSG00000135164,TSG,AUTO,43976
ENSG00000055130,TSG,AUTO,103122
ENSG00000133878,TSG,AUTO,8774
ENSG00000081913,TSG,AUTO,264983
ENSG00000144339,TSG,AUTO,246666
ENSG00000141646,TSG,AUTO,56651
ENSG00000166851,TSG,AUTO,12711
ENSG00000107882,TSG,AUTO,129548
ENSG00000155666,TSG,AUTO,18273
ENSG00000141510,TSG,AUTO,25771
ENSG00000065559,TSG,AUTO,123006
ENSG00000171444,TSG,AUTO,466731
ENSG00000072133,TSG,X,129561
ENSG00000118307,TSG,AUTO,86742
ENSG00000146674,TSG,AUTO,9629
ENSG00000176490,TSG,AUTO,6851
ENSG00000144655,TSG,AUTO,12707
ENSG00000118308,TSG,AUTO,103992
ENSG00000169567,TSG,AUTO,12708
ENSG00000101596,TSG,AUTO,149279
ENSG00000012232,TSG,AUTO,155130
ENSG00000130222,TSG,AUTO,1542
ENSG00000004838,TSG,AUTO,5742
ENSG00000007923,TSG,AUTO,67756
ENSG00000184675,TSG,X,20627
ENSG00000196581,TSG,AUTO,137802
ENSG00000174292,TSG,AUTO,9240
ENSG00000136327,TSG,AUTO,2028
ENSG00000147274,TSG,X,32760
ENSG00000211445,TSG,AUTO,8555
ENSG00000089597,TSG,AUTO,21900
ENSG00000129194,TSG,AUTO,1992
ENSG00000144791,TSG,AUTO,130944
ENSG00000165617,TSG,AUTO,14354
ENSG00000147883,TSG,AUTO,6460
ENSG00000099810,TSG,AUTO,135108
ENSG00000178764,TSG,AUTO,193118
ENSG00000142178,TSG,AUTO,12706
ENSG00000088038,TSG,AUTO,17991
ENSG00000171604,TSG,AUTO,36583
ENSG00000147889,TSG,AUTO,27548
ENSG00000086730,TSG,AUTO,30182
ENSG00000101191,TSG,AUTO,60214
ENSG00000119684,TSG,AUTO,37768
ENSG00000061337,TSG,AUTO,57798
ENSG00000165140,TSG,AUTO,37116
ENSG00000161040,TSG,AUTO,261613
ENSG00000118946,TSG,AUTO,97501
ENSG00000099956,TSG,AUTO,51077
ENSG00000104413,TSG,AUTO,66392
ENSG00000133895,TSG,AUTO,7784
ENSG00000150457,TSG,AUTO,88515
ENSG00000076242,TSG,AUTO,57586
ENSG00000102804,TSG,AUTO,145004
ENSG00000100033,TSG,AUTO,23776
ENSG00000133961,TSG,AUTO,183510
ENSG00000111424,TSG,AUTO,101511
ENSG00000156687,TSG,AUTO,561093
ENSG00000161055,TSG,AUTO,1437
ENSG00000114978,TSG,AUTO,26370
ENSG00000072786,TSG,AUTO,146313
ENSG00000007372,TSG,AUTO,33283
ENSG00000125841,TSG,AUTO,12878
ENSG00000101773,TSG,AUTO,228227
ENSG00000114395,TSG,AUTO,7765
ENSG00000148120,TSG,AUTO,360517
ENSG00000172005,TSG,AUTO,28319
ENSG00000114388,TSG,AUTO,3761
ENSG00000155254,TSG,AUTO,4979
ENSG00000079385,TSG,AUTO,53930
ENSG00000103266,TSG,AUTO,2646
ENSG00000140009,TSG,AUTO,253880
ENSG00000105329,TSG,AUTO,52324
ENSG00000198300,TSG,AUTO,30645
ENSG00000225921,TSG,AUTO,17412
ENSG00000165025,TSG,AUTO,96762
ENSG00000010017,TSG,AUTO,90066
ENSG00000115325,TSG,AUTO,8528
ENSG00000149554,TSG,AUTO,51119
ENSG00000147257,TSG,X,450150
ENSG00000145147,TSG,AUTO,367301
ENSG00000161048,TSG,AUTO,49784
ENSG00000170632,TSG,AUTO,24883
ENSG00000171735,TSG,AUTO,984382
ENSG00000187323,TSG,AUTO,1195731
ENSG00000115317,TSG,AUTO,3971
ENSG00000140044,TSG,AUTO,46395
ENSG00000149547,TSG,AUTO,15471
ENSG00000147443,TSG,AUTO,4987
ENSG00000180900,TSG,AUTO,24459
ENSG00000213341,TSG,AUTO,41321
ENSG00000146414,TSG,AUTO,100178
ENSG00000166710,TSG,AUTO,7400
ENSG00000129514,TSG,AUTO,6075
ENSG00000134508,TSG,AUTO,125903
ENSG00000109062,TSG,AUTO,20701
ENSG00000106536,TSG,AUTO,515097
ENSG00000132383,TSG,AUTO,70380
ENSG00000112319,TSG,AUTO,291522
ENSG00000067082,TSG,AUTO,9285
ENSG00000186532,TSG,AUTO,51149
ENSG00000156531,TSG,X,55538
ENSG00000148481,TSG,AUTO,82350
ENSG00000144381,TSG,AUTO,30156
ENSG00000138443,TSG,AUTO,119504
ENSG00000171862,TSG,AUTO,108817
ENSG00000141252,TSG,AUTO,213049
ENSG00000198680,TSG,AUTO,2051
ENSG00000167772,TSG,AUTO,11084
ENSG00000106123,TSG,AUTO,16033
ENSG00000120129,TSG,AUTO,3105
ENSG00000163032,TSG,AUTO,117892
ENSG00000180953,TSG,AUTO,24862
ENSG00000169071,TSG,AUTO,387071
ENSG00000186575,TSG,AUTO,95042
ENSG00000197599,TSG,AUTO,10173
ENSG00000168772,TSG,AUTO,26589
ENSG00000116288,TSG,AUTO,31214
ENSG00000175662,TSG,AUTO,128911
ENSG00000167755,TSG,AUTO,11042
ENSG00000100290,TSG,AUTO,18964
ENSG00000151090,TSG,AUTO,378603
ENSG00000124813,TSG,AUTO,336192
ENSG00000164197,TSG,AUTO,207025
ENSG00000107954,TSG,AUTO,98573
ENSG00000137709,TSG,AUTO,83304
ENSG00000204209,TSG,AUTO,4458
ENSG00000185559,TSG,AUTO,12519
ENSG00000172531,TSG,AUTO,23000
ENSG00000072952,TSG,AUTO,120897
ENSG00000179796,TSG,AUTO,87970
ENSG00000050165,TSG,AUTO,46663
ENSG00000140836,TSG,AUTO,1108986
ENSG00000168769,TSG,AUTO,133941
ENSG00000101265,TSG,AUTO,43622
ENSG00000135100,TSG,AUTO,23969
ENSG00000176046,TSG,AUTO,6466
ENSG00000132382,TSG,AUTO,16734
ENSG00000116285,TSG,AUTO,21904
ENSG00000005339,TSG,AUTO,155672
ENSG00000108799,TSG,AUTO,44774
ENSG00000204472,TSG,AUTO,1837
ENSG00000153071,TSG,AUTO,90625
ENSG00000187054,TSG,AUTO,54755
ENSG00000196924,TSG,X,26114
ENSG00000138448,TSG,AUTO,90836
ENSG00000177463,TSG,AUTO,106016
ENSG00000049768,TSG,X,14390
ENSG00000177519,TSG,AUTO,1470
ENSG00000167394,TSG,AUTO,13477
ENSG00000163564,TSG,AUTO,46258
ENSG00000111961,TSG,AUTO,279746
ENSG00000198382,TSG,AUTO,328028
ENSG00000164938,TSG,AUTO,23439
ENSG00000184557,TSG,AUTO,3299
ENSG00000129596,TSG,AUTO,12221
ENSG00000163565,TSG,AUTO,55187
ENSG00000108963,TSG,AUTO,13320
ENSG00000204628,TSG,AUTO,11187
ENSG00000147804,TSG,AUTO,7153
ENSG00000145824,TSG,AUTO,8600
ENSG00000163568,TSG,AUTO,84612
ENSG00000154764,TSG,AUTO,63863
ENSG00000026103,TSG,AUTO,25203
ENSG00000162706,TSG,AUTO,31704
ENSG00000122707,TSG,AUTO,88018
ENSG00000108518,TSG,AUTO,3409
ENSG00000175390,TSG,AUTO,31611
ENSG00000180871,TSG,AUTO,11964
ENSG00000013588,TSG,AUTO,27155
ENSG00000198947,TSG,X,2241764
ENSG00000145687,TSG,AUTO,338776
ENSG00000179242,TSG,AUTO,688191
ENSG00000106483,TSG,AUTO,119763
ENSG00000187608,TSG,AUTO,13403
ENSG00000118523,TSG,AUTO,3197
ENSG00000184226,TSG,AUTO,927611
ENSG00000162694,TSG,AUTO,23626
ENSG00000085741,TSG,AUTO,24411
ENSG00000145675,TSG,AUTO,86101
ENSG00000263639,TSG,AUTO,12962
ENSG00000106144,TSG,AUTO,19481
ENSG00000133134,TSG,X,1700
ENSG00000162734,TSG,AUTO,10039
ENSG00000147316,TSG,AUTO,241912
ENSG00000135423,TSG,AUTO,17470
ENSG00000115963,TSG,AUTO,70816
ENSG00000185565,TSG,AUTO,1337026
ENSG00000129451,TSG,AUTO,7436
ENSG00000135482,TSG,AUTO,9355
ENSG00000170549,TSG,AUTO,5349
ENSG00000197299,TSG,AUTO,98838
ENSG00000161905,TSG,AUTO,11392
ENSG00000182916,TSG,X,2130
ENSG00000105327,TSG,AUTO,11944
ENSG00000182968,TSG,AUTO,2841
ENSG00000135828,TSG,AUTO,15622
ENSG00000168062,TSG,AUTO,9102
ENSG00000049618,TSG,AUTO,433405
ENSG00000124762,TSG,AUTO,10879
ENSG00000152518,TSG,AUTO,4207
ENSG00000074266,TSG,AUTO,34269
ENSG00000162772,TSG,AUTO,55443
ENSG00000187045,TSG,AUTO,44127
ENSG00000185920,TSG,AUTO,74077
ENSG00000100614,TSG,AUTO,53335
ENSG00000204217,TSG,AUTO,190815
ENSG00000163939,TSG,AUTO,140565
ENSG00000012223,TSG,AUTO,49589
ENSG00000256453,TSG,AUTO,2792
ENSG00000161940,TSG,AUTO,7270
ENSG00000020633,TSG,AUTO,65610
ENSG00000176887,TSG,AUTO,8718
ENSG00000177374,TSG,AUTO,9087
ENSG00000116525,TSG,AUTO,36657
ENSG00000188994,TSG,AUTO,111363
ENSG00000189283,TSG,AUTO,1502149
ENSG00000171456,TSG,AUTO,80989
ENSG00000170955,TSG,AUTO,1701
ENSG00000064201,TSG,AUTO,16203
ENSG00000117707,TSG,AUTO,58321
ENSG00000126581,TSG,AUTO,23216
ENSG00000152661,TSG,AUTO,14035
ENSG00000164400,TSG,AUTO,2380
ENSG00000159840,TSG,AUTO,10031
ENSG00000136114,TSG,AUTO,29327
